시도,연도,복지시설_합계,요양병원_수,복지시설_정규화,요양병원_정규화,인프라_치우침_지수
강원특별자치도,2024,4149,32,0.2548,0.0997,0.1552
경기도,2024,14569,294,1.0,1.0,0.0
경상남도,2024,9121,115,0.6104,0.3849,0.2255
경상북도,2024,9186,104,0.615,0.3471,0.268
광주광역시,2024,2127,62,0.1102,0.2027,-0.0925
대구광역시,2024,2631,72,0.1462,0.2371,-0.0909
대전광역시,2024,1470,46,0.0632,0.1478,-0.0845
부산광역시,2024,3424,161,0.203,0.543,-0.34
서울특별시,2024,6167,110,0.3991,0.3677,0.0314
세종특별자치시,2024,586,3,0.0,0.0,0.0
울산광역시,2024,1235,36,0.0464,0.1134,-0.067
인천광역시,2024,2767,63,0.156,0.2062,-0.0502
전라남도,2024,10269,79,0.6925,0.2612,0.4313
전북특별자치도,2024,7914,74,0.5241,0.244,0.2801
제주특별자치도,2024,641,11,0.0039,0.0275,-0.0236
충청남도,2024,6862,66,0.4488,0.2165,0.2323
충청북도,2024,4877,37,0.3069,0.1168,0.19
