"시점","시군구별(1)",소아청소년과
"2023.2/4","전북",209
"2023.2/4","전남",157
"2023.2/4","경북",194
"2023.2/4","경남",366
"2023.2/4","제주",72
"2023.3/4","전체",6385
"2023.3/4","서울",1444
"2023.3/4","부산",455
"2023.3/4","대구",353
"2023.3/4","인천",350
"2023.3/4","광주",247
"2023.3/4","대전",216
"2023.3/4","울산",120
"2023.3/4","세종",70
"2023.3/4","경기",1641
"2023.3/4","강원",159
"2023.3/4","충북",153
"2023.3/4","충남",182
"2023.3/4","전북",209
"2023.3/4","전남",155
"2023.3/4","경북",200
"2023.3/4","경남",360
"2023.3/4","제주",71
"2023.4/4","전체",6389
"2023.4/4","서울",1455
"2023.4/4","부산",457
"2023.4/4","대구",347
"2023.4/4","인천",344
"2023.4/4","광주",241
"2023.4/4","대전",215
"2023.4/4","울산",119
"2023.4/4","세종",68
"2023.4/4","경기",1656
"2023.4/4","강원",159
"2023.4/4","충북",153
"2023.4/4","충남",177
"2023.4/4","전북",207
"2023.4/4","전남",157
"2023.4/4","경북",198
"2023.4/4","경남",363
"2023.4/4","제주",73
"2024.1/4","전체",6435
"2024.1/4","서울",1486
"2024.1/4","부산",467
"2024.1/4","대구",358
"2024.1/4","인천",346
"2024.1/4","광주",237
"2024.1/4","대전",211
"2024.1/4","울산",120
"2024.1/4","세종",79
"2024.1/4","경기",1663
"2024.1/4","강원",154
"2024.1/4","충북",154
"2024.1/4","충남",173
"2024.1/4","전북",203
"2024.1/4","전남",153
"2024.1/4","경북",203
"2024.1/4","경남",358
"2024.1/4","제주",70
"2024.2/4","전체",6490
"2024.2/4","서울",1510
"2024.2/4","부산",465
"2024.2/4","대구",364
"2024.2/4","인천",350
"2024.2/4","광주",238
"2024.2/4","대전",217
"2024.2/4","울산",120
"2024.2/4","세종",78
"2024.2/4","경기",1691
"2024.2/4","강원",158
"2024.2/4","충북",146
"2024.2/4","충남",175
"2024.2/4","전북",202
"2024.2/4","전남",149
"2024.2/4","경북",196
"2024.2/4","경남",360
"2024.2/4","제주",71
"2024.3/4","전체",6473
"2024.3/4","서울",1502
"2024.3/4","부산",462
"2024.3/4","대구",361
"2024.3/4","인천",352
"2024.3/4","광주",237
"2024.3/4","대전",215
"2024.3/4","울산",120
"2024.3/4","세종",79
"2024.3/4","경기",1695
"2024.3/4","강원",158
"2024.3/4","충북",141
"2024.3/4","충남",174
"2024.3/4","전북",202
"2024.3/4","전남",148
"2024.3/4","경북",195
"2024.3/4","경남",361
"2024.3/4","제주",71
"2024.4/4","전체",6467
"2024.4/4","서울",1497
"2024.4/4","부산",459
"2024.4/4","대구",360
"2024.4/4","인천",358
"2024.4/4","광주",225
"2024.4/4","대전",215
"2024.4/4","울산",120
"2024.4/4","세종",80
"2024.4/4","경기",1702
"2024.4/4","강원",155
"2024.4/4","충북",142
"2024.4/4","충남",175
"2024.4/4","전북",203
"2024.4/4","전남",147
"2024.4/4","경북",197
"2024.4/4","경남",361
"2024.4/4","제주",71
"2025.1/4","전체",6417
"2025.1/4","서울",1498
"2025.1/4","부산",453
"2025.1/4","대구",358
"2025.1/4","인천",349
"2025.1/4","광주",220
"2025.1/4","대전",212
"2025.1/4","울산",116
"2025.1/4","세종",75
"2025.1/4","경기",1692
"2025.1/4","강원",151
"2025.1/4","충북",139
"2025.1/4","충남",179
"2025.1/4","전북",199
"2025.1/4","전남",145
"2025.1/4","경북",194
"2025.1/4","경남",363
"2025.1/4","제주",74
"2025.2/4","전체",6441
"2025.2/4","서울",1514
"2025.2/4","부산",449
"2025.2/4","대구",361
"2025.2/4","인천",355
"2025.2/4","광주",232
"2025.2/4","대전",210
"2025.2/4","울산",117
"2025.2/4","세종",77
"2025.2/4","경기",1699
"2025.2/4","강원",152
"2025.2/4","충북",137
"2025.2/4","충남",184
"2025.2/4","전북",197
"2025.2/4","전남",139
"2025.2/4","경북",190
"2025.2/4","경남",356
"2025.2/4","제주",72
"2025.3/4","전체",6464
"2025.3/4","서울",1529
"2025.3/4","부산",449
"2025.3/4","대구",364
"2025.3/4","인천",356
"2025.3/4","광주",235
"2025.3/4","대전",202
"2025.3/4","울산",116
"2025.3/4","세종",77
"2025.3/4","경기",1697
"2025.3/4","강원",153
"2025.3/4","충북",140
"2025.3/4","충남",184
"2025.3/4","전북",199
"2025.3/4","전남",141
"2025.3/4","경북",194
"2025.3/4","경남",356
"2025.3/4","제주",72
"2025.4/4","전체",6444
"2025.4/4","서울",1523
"2025.4/4","부산",453
"2025.4/4","대구",361
"2025.4/4","인천",353
"2025.4/4","광주",232
"2025.4/4","대전",213
"2025.4/4","울산",117
"2025.4/4","세종",76
"2025.4/4","경기",1684
"2025.4/4","강원",154
"2025.4/4","충북",141
"2025.4/4","충남",183
"2025.4/4","전북",191
"2025.4/4","전남",142
"2025.4/4","경북",192
"2025.4/4","경남",358
"2025.4/4","제주",71
