"시점","시도별",소아청소년과
"2022.2/4","경기도",652
"2022.2/4","강원특별자치도",56
"2022.2/4","충청북도",54
"2022.2/4","충청남도",64
"2022.2/4","전북특별자치도",65
"2022.2/4","전라남도",26
"2022.2/4","경상북도",70
"2022.2/4","경상남도",92
"2022.2/4","제주특별자치도",34
"2022.3/4","계",2129
"2022.3/4","서울특별시",454
"2022.3/4","부산광역시",136
"2022.3/4","대구광역시",116
"2022.3/4","인천광역시",141
"2022.3/4","광주광역시",41
"2022.3/4","대전광역시",58
"2022.3/4","울산광역시",32
"2022.3/4","세종특별자치시",22
"2022.3/4","경기도",663
"2022.3/4","강원특별자치도",57
"2022.3/4","충청북도",55
"2022.3/4","충청남도",66
"2022.3/4","전북특별자치도",66
"2022.3/4","전라남도",26
"2022.3/4","경상북도",70
"2022.3/4","경상남도",92
"2022.3/4","제주특별자치도",34
"2022.4/4","계",2135
"2022.4/4","서울특별시",456
"2022.4/4","부산광역시",135
"2022.4/4","대구광역시",115
"2022.4/4","인천광역시",141
"2022.4/4","광주광역시",41
"2022.4/4","대전광역시",58
"2022.4/4","울산광역시",32
"2022.4/4","세종특별자치시",22
"2022.4/4","경기도",668
"2022.4/4","강원특별자치도",57
"2022.4/4","충청북도",54
"2022.4/4","충청남도",66
"2022.4/4","전북특별자치도",66
"2022.4/4","전라남도",26
"2022.4/4","경상북도",70
"2022.4/4","경상남도",92
"2022.4/4","제주특별자치도",36
"2023.1/4","계",2147
"2023.1/4","서울특별시",456
"2023.1/4","부산광역시",136
"2023.1/4","대구광역시",115
"2023.1/4","인천광역시",139
"2023.1/4","광주광역시",42
"2023.1/4","대전광역시",58
"2023.1/4","울산광역시",32
"2023.1/4","세종특별자치시",25
"2023.1/4","경기도",674
"2023.1/4","강원특별자치도",57
"2023.1/4","충청북도",56
"2023.1/4","충청남도",66
"2023.1/4","전북특별자치도",67
"2023.1/4","전라남도",26
"2023.1/4","경상북도",70
"2023.1/4","경상남도",92
"2023.1/4","제주특별자치도",36
"2023.2/4","계",2143
"2023.2/4","서울특별시",452
"2023.2/4","부산광역시",136
"2023.2/4","대구광역시",115
"2023.2/4","인천광역시",139
"2023.2/4","광주광역시",43
"2023.2/4","대전광역시",58
"2023.2/4","울산광역시",34
"2023.2/4","세종특별자치시",26
"2023.2/4","경기도",670
"2023.2/4","강원특별자치도",57
"2023.2/4","충청북도",56
"2023.2/4","충청남도",65
"2023.2/4","전북특별자치도",66
"2023.2/4","전라남도",26
"2023.2/4","경상북도",70
"2023.2/4","경상남도",93
"2023.2/4","제주특별자치도",37
"2023.3/4","계",2145
"2023.3/4","서울특별시",450
"2023.3/4","부산광역시",136
"2023.3/4","대구광역시",115
"2023.3/4","인천광역시",141
"2023.3/4","광주광역시",43
"2023.3/4","대전광역시",57
"2023.3/4","울산광역시",34
"2023.3/4","세종특별자치시",26
"2023.3/4","경기도",675
"2023.3/4","강원특별자치도",57
"2023.3/4","충청북도",56
"2023.3/4","충청남도",65
"2023.3/4","전북특별자치도",65
"2023.3/4","전라남도",25
"2023.3/4","경상북도",69
"2023.3/4","경상남도",94
"2023.3/4","제주특별자치도",37
"2023.4/4","계",2152
"2023.4/4","서울특별시",451
"2023.4/4","부산광역시",137
"2023.4/4","대구광역시",116
"2023.4/4","인천광역시",143
"2023.4/4","광주광역시",42
"2023.4/4","대전광역시",56
"2023.4/4","울산광역시",34
"2023.4/4","세종특별자치시",26
"2023.4/4","경기도",680
"2023.4/4","강원특별자치도",57
"2023.4/4","충청북도",56
"2023.4/4","충청남도",65
"2023.4/4","전북특별자치도",65
"2023.4/4","전라남도",25
"2023.4/4","경상북도",68
"2023.4/4","경상남도",95
"2023.4/4","제주특별자치도",36
"2024.1/4","계",2183
"2024.1/4","서울특별시",459
"2024.1/4","부산광역시",141
"2024.1/4","대구광역시",114
"2024.1/4","인천광역시",144
"2024.1/4","광주광역시",42
"2024.1/4","대전광역시",56
"2024.1/4","울산광역시",34
"2024.1/4","세종특별자치시",27
"2024.1/4","경기도",689
"2024.1/4","강원특별자치도",57
"2024.1/4","충청북도",56
"2024.1/4","충청남도",65
"2024.1/4","전북특별자치도",67
"2024.1/4","전라남도",26
"2024.1/4","경상북도",73
"2024.1/4","경상남도",98
"2024.1/4","제주특별자치도",35
"2024.2/4","계",2185
"2024.2/4","서울특별시",459
"2024.2/4","부산광역시",140
"2024.2/4","대구광역시",116
"2024.2/4","인천광역시",145
"2024.2/4","광주광역시",42
"2024.2/4","대전광역시",57
"2024.2/4","울산광역시",33
"2024.2/4","세종특별자치시",27
"2024.2/4","경기도",694
"2024.2/4","강원특별자치도",56
"2024.2/4","충청북도",56
"2024.2/4","충청남도",65
"2024.2/4","전북특별자치도",66
"2024.2/4","전라남도",25
"2024.2/4","경상북도",72
"2024.2/4","경상남도",97
